id_transacao,tempo_desde_ultima_transacao,valor_transacao,localizacao_comerciante_risco,frequencia_cartao_dia,media_gasto_cartao_semana,fraude
673,3495.0,143.62029106312664,0,10,6472.62004689924,0
979,1262.5,1880.696615371852,1,23,957.8874823283992,1
809,3.0,1593.2281228010395,1,35,1628.7530505427476,1
983,4.0,1583.0999991822027,1,16,1127.2200584555353,1
420,2554.0,80.87875613921022,0,13,3869.251303197924,0
275,3285.0,92.12615586342204,0,14,4183.424052682086,0
876,12.0,2494.5371053477384,1,20,784.2671645652442,1
888,8.0,1790.0682694568404,1,15,1118.745934328777,1
31,489.0,115.9694635801922,0,10,1766.7363090951064,0
308,518.0,520.3325419981376,0,13,2169.295283712678,0
681,1007.0,160.88223540067318,0,3,3689.536256083597,0
529,2900.0,176.6858977069759,0,13,2117.154649670618,0
843,2.0,2072.6729013753175,1,13,1067.301897033425,1
839,24.0,1685.807954502431,0,36,1287.5157459526126,1
347,2131.0,335.7545901271434,0,2,2243.664220439946,0
729,1197.0,14.772144810933469,0,13,6101.059118701213,0
43,1005.0,99.56111238681424,0,1,3028.575552051166,0
174,1514.0,83.7282491670382,0,1,2989.7424454547095,0
396,3466.0,259.8379916013468,0,14,4013.995729300912,0
388,984.0,627.4993692685564,0,13,3394.3258908500093,0
975,10.0,1440.222136955795,1,25,1319.551589714316,1
837,18.0,1597.1973007868703,0,16,343.023488506434,1
201,3090.0,454.15416617998994,0,13,3616.208266724815,0
23,1545.0,850.9320708758619,0,1,1649.8359843427245,0
426,1090.0,259.75093331165647,0,14,3168.301923509157,0
778,21.0,2778.000285919602,0,28,1015.3593705643256,1
487,1001.0,217.50959195995551,0,8,2383.3975045051725,0
485,429.0,85.3542585882453,0,14,1212.6450142153808,0
668,758.0,800.8951934424532,0,13,4758.190289984678,0
351,616.0,43.28934847124279,1,4,2272.8105620264178,0
727,3585.0,50.24947034629303,0,12,2953.5023071606224,0
763,21.0,1390.9460142253392,0,37,2256.9738212900384,1
235,2028.0,341.89442316675786,0,8,2448.049780981763,0
713,1262.5,184.8850310640615,0,8,5828.3918469062155,0
458,3039.0,726.8597538314281,1,3,4269.307644942495,0
735,3012.0,939.02400099112,0,6,2496.0084791937575,0
940,28.0,1122.7289480668649,1,37,622.6395532273336,1
853,24.0,1097.2213692914922,1,17,755.3873115051637,1
608,3281.0,223.6908495651897,0,4,1363.1823770276808,0
797,26.0,1452.2832713527066,1,25,710.3005589430376,1
770,5.0,2406.4571224487354,1,40,1580.546212018069,1
155,1925.0,205.683087698362,0,11,5082.785535413483,0
791,14.0,1692.3854046460383,0,21,761.3328796177353,1
476,554.0,76.61382801909531,0,8,2521.765844123169,0
600,1787.0,169.69949882422046,0,5,1357.559669560069,0
718,173.0,623.9884555622413,0,14,2704.782310227523,0
139,3095.0,335.7545901271434,0,5,2998.6704298835257,0
601,386.0,128.17817449169243,0,6,2557.519368232298,0
654,3047.0,80.70419884684951,0,1,2356.892957669333,0
332,1357.0,308.5961111857575,0,12,1967.5610814647137,0
412,688.0,745.9637770142415,1,6,2256.9738212900384,0
438,2330.0,349.92903672255125,0,10,1390.2635067242993,0
867,24.0,1879.3281127967475,1,46,1691.0916256314367,1
691,2294.0,166.75548667475687,0,1,2425.7716032769404,0
142,2212.0,123.21675098028304,1,8,5358.491166491468,0
953,6.0,1749.0141463176533,1,12,1357.5122491321197,1
257,1619.0,255.85227753841536,0,10,2510.971311321929,0
775,25.0,2065.595045171942,1,20,1354.1922737356433,1
312,2628.0,827.2176954454712,0,11,2181.2183878812593,0
977,17.0,335.7545901271434,1,12,725.1037242779742,1
524,1021.0,247.20001375385596,0,13,1756.9000524049902,0
639,1096.0,53.310339463482926,0,14,7713.389572564031,0
33,51.0,212.72452966869236,0,9,3612.575479167818,0
499,604.0,67.25430239003708,0,10,2153.1219132985616,0
271,2324.0,1037.6162189553463,0,13,2256.9738212900384,0
982,22.0,1515.5353258757088,1,24,1405.6608036601433,1
923,28.0,1780.0185437967116,1,13,1234.8621204845715,1
753,14.0,2432.2649542703975,1,31,1346.0771029950777,1
39,2588.0,153.7279459020814,0,11,968.0779016599844,0
621,2335.0,286.10185162512164,0,6,2256.9738212900384,0
302,1564.0,167.1875003857444,0,3,3416.3552899178108,0
301,2016.0,106.98765429379648,0,5,2664.36106661347,0
85,3103.0,335.7545901271434,0,6,9373.340865539876,0
652,805.0,335.7545901271434,0,1,2890.5337455053177,0
227,1509.0,335.7545901271434,1,4,1586.5148432948802,0
577,1026.0,385.72311243018385,0,9,2218.3572295693953,0
285,2829.0,1106.2697689411498,0,5,2287.6383640282643,0
936,24.0,335.7545901271434,1,23,781.5768706434037,1
651,119.0,107.98375822986952,1,13,5222.5116077621915,0
92,2479.0,131.1776818815126,0,8,2256.9738212900384,0
583,3148.0,191.74468514817136,0,5,2693.790755004305,0
