id_transacao,tempo_desde_ultima_transacao,valor_transacao,localizacao_comerciante_risco,frequencia_cartao_dia,media_gasto_cartao_semana,fraude
522,803.0,43.382570153645965,0,1,3249.863359817176,0
738,663.0,264.5710857695634,0,1,2165.57067925579,0
741,1268.0,572.2604773093935,0,10,4935.006501327074,0
661,855.0,125.39602394159856,0,5,2223.206182748809,0
412,688.0,745.9637770142415,1,6,,0
679,1152.0,112.49223325415527,0,9,3670.2510620635258,0
627,1717.0,132.11397192773268,0,1,2923.863313205561,0
514,3070.0,127.77321406363845,0,5,3352.254344193451,0
860,1.0,2538.4614126464253,0,27,611.9477124387713,1
137,3591.0,371.9248236966154,0,8,2944.9067127796066,0
812,8.0,2440.799872989104,1,28,756.279295318774,1
77,2586.0,1034.2637287530026,0,7,4149.6403286337045,0
637,1470.0,113.14787716516905,0,3,4373.449253858101,0
974,13.0,2542.3630710874722,1,32,933.1837897670179,1
939,3.0,,1,41,1357.8205496249243,1
900,19.0,1684.40511527831,1,19,715.6321848193041,1
281,2961.0,826.1995709080151,0,12,,0
884,7.0,2189.1735978036318,1,10,875.4358696284186,1
762,27.0,1858.949989981357,1,22,1199.4781486905222,1
320,1468.0,12.40313729426455,0,12,2445.2330263792655,0
550,1180.0,252.70688756828332,0,1,2719.6686262744165,0
175,893.0,,0,14,4397.7962603163805,0
372,,,0,13,2672.728597867454,0
528,2944.0,,0,1,1638.9658186315078,0
211,2068.0,539.1954379002245,0,4,2014.769013386781,0
236,3475.0,402.9998620530631,0,2,1566.6532063526024,0
102,485.0,675.4642057146518,0,14,,0
987,13.0,1115.2707023417029,1,33,1084.302775084542,1
903,25.0,,1,39,537.1595454371062,1
948,6.0,1751.6445880347958,1,19,1246.0474560266452,1
347,2131.0,,0,2,2243.664220439946,0
140,2118.0,54.65177903015798,0,13,1230.4860067369955,0
622,526.0,150.60083669457637,0,7,2289.550798071811,0
500,3291.0,18.745794393204772,0,3,4576.007916799995,0
371,1734.0,,0,11,3342.5192058315915,0
199,2634.0,199.09747654704103,0,1,2420.1078466310682,0
688,3470.0,576.4846086194491,0,2,2638.7632926953074,0
585,2171.0,141.37902425945686,0,12,3633.5377466677746,0
902,7.0,1854.6446283233902,0,21,1229.208934471858,1
60,1327.0,45.14970421046733,0,7,2953.9495840740883,0
329,910.0,217.23810618237962,0,13,8577.741283543119,0
97,2011.0,303.778219166737,0,5,1776.6396717619455,0
313,2415.0,90.56629593932037,0,13,1914.7333548816007,0
975,10.0,1440.2221369557947,1,25,1319.551589714316,1
300,1399.0,393.4720798170299,1,8,3573.9478756799977,0
278,796.0,2460.8800346988955,0,8,3940.772758983011,0
925,14.0,2037.9602671297434,1,13,1122.4158540510266,1
602,2100.0,619.763705306106,0,11,2240.3116546430642,0
440,3005.0,177.45039662975938,0,9,5164.262405575247,0
838,6.0,2506.068230454265,1,47,1358.3776661541192,1
571,2938.0,568.3804615828417,0,1,2296.9247179867193,0
880,10.0,1838.6244869407824,1,45,762.730185499734,1
262,3504.0,597.6157594391586,0,1,2919.019230893204,0
